qid	gold_chunk	doc_name	n_dup	n_dup_other_doc	top_sim	top3
DAPA-L1-001	admrul:2100000212399:000300	방산물자 감손율 산정지침	0	0	0.0	
DAPA-L1-002	admrul:2100000257908:002900	(방위사업청) 자체감사에 관한 규정	0	0	0.0	
DAPA-L1-003	admrul:2100000256314:002700	K-방산수출펀드 운영규정	0	0	0.0	
DAPA-L1-004	admrul:2100000274602:000500	무기체계 소프트웨어 개발 지원에 관한 규정	0	0	0.0	
DAPA-L1-005	admrul:2100000260050:000200	방산수출 자문단 운영지침	1	1	0.6271	admrul:2100000274636:000200(0.6271)
DAPA-L1-006	admrul:2100000281472:001303	국방전력발전업무훈령	1	0	0.6913	admrul:2100000281472:010802(0.6913)
DAPA-L1-007	admrul:2100000279406:001000	현존전력 성능 극대화 사업 업무지침	0	0	0.0	
DAPA-L1-008	admrul:2100000272962:000300	방위산업물자 및 방위산업체 지정 규정	0	0	0.0	
DAPA-L1-009	admrul:2100000279376:009900	방위사업관리규정	0	0	0.0	
DAPA-L1-010	admrul:2100000272968:002800	방산원가대상물자의 원가계산에 관한 시행세칙	2	0	0.7184	admrul:2100000272968:002700(0.7184);admrul:2100000272968:002900(0.6)
DAPA-L1-011	law:003313:000700	대외무역법 시행령	0	0	0.0	
DAPA-L1-012	law:000936:001900	군수품관리법	0	0	0.0	
DAPA-L1-013	law:013933:005100	국가연구개발혁신법 시행령	0	0	0.0	
DAPA-L1-014	law:010107:001100	방위사업법	0	0	0.0	
DAPA-L1-015	law:001467:002700	대외무역법	0	0	0.0	
DAPA-L1-016	law:003000:001900	군수품관리법 시행령	0	0	0.0	
DAPA-L1-017	law:010126:002702	방위사업법 시행령	0	0	0.0	
DAPA-L1-018	law:012527:000300	방위사업감독관 직무 등에 관한 규칙	0	0	0.0	
DAPA-L1-019	law:000936:001100	군수품관리법	0	0	0.0	
DAPA-L1-020	law:003000:002100	군수품관리법 시행령	0	0	0.0	
DAPA-L2-001	admrul:2100000281472:010900	국방전력발전업무훈령	0	0	0.0	
DAPA-L2-001	admrul:2100000281472:012600	국방전력발전업무훈령	0	0	0.0	
DAPA-L2-002	admrul:2100000250590:000800	(방위사업청) 표창규정	0	0	0.0	
DAPA-L2-002	admrul:2100000250590:000900	(방위사업청) 표창규정	0	0	0.0	
DAPA-L2-003	admrul:2100000274576:002200	회계처리 및 구분회계 기준에 관한 훈령	0	0	0.0	
DAPA-L2-003	admrul:2100000274576:002400	회계처리 및 구분회계 기준에 관한 훈령	0	0	0.0	
DAPA-L2-004	admrul:2100000257928:002300	국방전자조달시스템 전자계약 사무처리 지침	0	0	0.0	
DAPA-L2-004	admrul:2100000257928:002600	국방전자조달시스템 전자계약 사무처리 지침	0	0	0.0	
